q_dot_occ,q_dot_ac,q_dot_vent,q_dot_solar,T_amb,T_b,Phi
20.8,40,38.42,25.4,7.9,15.9,0.18
20.8,40,37.92,19.7,8.2,16.1,0.18
20.8,40,38.26,10.3,8,15.97,0.18
0,40,0,2.1,7.7,22.44,0.25
20.8,40,38.92,0,7.6,15.71,0.25
20.8,40,38.75,0,7.7,15.77,0.25
20.8,40,38.59,0,7.8,15.84,0.25
20.8,40,38.75,0,7.7,15.77,0.25
0,40,0,0,7.5,22.43,0.25
0,40,0,0,7.4,22.43,0.25
0,40,0,0,7.6,22.43,0.25
0,40,0,0,7.5,22.43,0.25
0,40,0,0,7.7,22.43,0.25
0,40,0,0,7.8,22.43,0.25
0,40,0,0,7.8,22.43,0.25
0,40,0,0,7.6,22.43,0.25
0,40,0,0,7.8,22.43,0.25
0,40,0,0,7.6,22.43,0.25
20.8,40,38.42,0,7.9,15.9,0.18
20.8,40,38.59,0,7.8,15.84,0.18
20.8,40,38.42,2.3,7.9,15.9,0.18
20.8,40,38.09,7.5,8.1,16.04,0.18
0,40,0,11.8,8.2,22.44,0.18
20.8,40,37.59,13.9,8.4,16.23,0.18
20.8,40,37.42,13.4,8.5,16.3,0.18
20.8,40,37.25,10.3,8.6,16.36,0.18
20.8,40,37.25,5.6,8.6,16.36,0.25
0,40,0,1.2,8.4,22.44,0.25
20.8,40,37.59,0,8.4,16.23,0.25
20.8,40,37.76,0,8.3,16.17,0.25
20.8,40,37.59,0,8.4,16.23,0.25
20.8,40,38.25,0,8,15.97,0.25
0,40,0,0,7.5,22.43,0.25
0,40,0,0,7.1,22.43,0.25
0,40,0,0,7,22.43,0.25
0,40,0,0,6.9,22.43,0.25
0,40,0,0,6.7,22.43,0.25
0,40,0,0,6.2,22.43,0.25
0,40,0,0,6,22.43,0.25
0,40,0,0,5.4,22.43,0.25
0,40,0,0,4.9,22.43,0.25
0,40,0,0,4.5,22.43,0.18
20.8,40,44.77,0,4,13.33,0.18
20.8,40,45.25,0.2,3.7,13.13,0.18
20.8,40,45.09,20,3.8,13.19,0.18
20.8,40,43.66,47.9,4.7,13.8,0.18
0,40,0,64.8,5.5,22.44,0.18
20.8,40,41.06,71.5,6.3,14.86,0.18
20.8,40,40.24,67.2,6.8,15.18,0.18
20.8,40,40.41,64.8,6.7,15.12,0.25
