q_dot_occ (kW),q_dot_ac (kW),q_dot_vent (kW),q_dot_solar (kW),T_amb (°C),T_b (°C),Phi (Eur/KWh)
0,40,0,0,4.9,26.07073544,0.25
0,40,0,0,5,26.67252868,0.25
0,40,0,0,5,26.9934385,0.25
0,40,0,0,5,27.52347729,0.25
0,40,0,0,5.1,27.11445756,0.25
0,40,0,0,5.4,27.04088319,0.25
20.8,40,15.70624,0,5.6,28.89578721,0.25
20.8,40,15.7872,0,5.5,28.9696078,0.18
20.8,40,15.70624,3.938222666,5.6,29.4867358,0.18
20.8,40,15.46336,12.52323157,5.9,29.96740835,0.18
0,40,0,19.20407154,6.1,28.25664558,0.18
20.8,40,14.65376,22.74078154,6.9,31.85559457,0.18
20.8,40,13.84416,42.27227154,7.9,33.27155485,0.18
20.8,40,13.60128,32.81991207,8.2,33.34374762,0.18
20.8,40,13.7632,17.24196758,8,32.47209448,0.18
0,40,0,3.501034724,7.7,28.93733719,0.25
20.8,40,14.08704,0,7.6,30.17280451,0.25
20.8,40,14.00608,0,7.7,30.41795504,0.25
20.8,40,13.92512,0,7.8,30.66521368,0.25
20.8,40,14.00608,0,7.7,30.45061925,0.25
0,40,0,0,7.5,27.83785573,0.25
0,40,0,0,7.4,27.43650631,0.25
0,40,0,0,7.6,27.38157854,0.25
0,40,0,0,7.5,27.42599016,0.25
0,40,0,0,7.7,27.57056628,0.25
0,40,0,0,7.8,27.99404188,0.25
0,40,0,0,7.8,27.86426924,0.25
0,40,0,0,7.6,27.8011368,0.25
0,40,0,0,7.8,28.44776954,0.25
0,40,0,0,7.6,28.43929471,0.25
20.8,40,13.84416,0,7.9,30.91417508,0.18
20.8,40,13.92512,0,7.8,31.32825316,0.18
20.8,40,13.84416,3.909250222,7.9,31.69721284,0.18
20.8,40,13.68224,12.52218072,8.1,32.69900152,0.18
0,40,0,19.61184632,8.2,31.03460412,0.18
20.8,40,13.43936,23.14096174,8.4,34.07765974,0.18
20.8,40,13.3584,22.33695895,8.5,34.63450242,0.18
20.8,40,13.27744,17.21542251,8.6,35.19307089,0.18
20.8,40,13.27744,9.363390034,8.6,34.36683695,0.25
0,40,0,1.942177103,8.4,30.51671731,0.25
20.8,40,13.43936,0,8.4,32.24681442,0.25
20.8,40,13.52032,0,8.3,32.08806177,0.25
20.8,40,13.43936,0,8.4,32.20521353,0.25
20.8,40,13.7632,0,8,31.72869962,0.25
0,40,0,0,7.5,28.66647884,0.25
0,40,0,0,7.1,27.5493342,0.25
0,40,0,0,7,27.45427212,0.25
0,40,0,0,6.9,27.21630033,0.25
0,40,0,0,6.7,27.18009672,0.25
0,40,0,0,6.2,26.87763437,0.25
0,40,0,0,6,26.43441522,0.25
0,40,0,0,5.4,25.75049228,0.25
0,40,0,0,4.9,25.17072528,0.25
0,40,0,0,4.5,24.37826425,0.18
20.8,40,17.0016,0,4,25.31652872,0.18
20.8,40,17.24448,0.386409903,3.7,25.1843479,0.18
20.8,40,17.16352,33.2507544,3.8,26.62487082,0.18
20.8,40,16.43488,79.83988039,4.7,29.81117736,0.18
0,40,0,108.0105039,5.5,30.97170363,0.18
20.8,40,15.13952,119.1761939,6.3,34.13680928,0.18
20.8,40,14.73472,112.0794943,6.8,35.74185654,0.18
20.8,40,14.81568,108.0475989,6.7,35.04983562,0.25
20.8,40,15.22048,75.40396801,6.2,33.82411841,0.25
0,40,0,8.595882421,5.2,27.72212736,0.25
20.8,40,16.67776,0,4.4,26.60248756,0.25
20.8,40,17.32544,0,3.6,25.23628759,0.25
20.8,40,17.64928,0,3.2,24.50265849,0.25
